GeneName	log2FoldChange	adjustedpvalue
SDE2	2.33539683	3.74E-08
CDKN2B	2.335341066	0.00015217
PNMA1	2.333971339	5.53E-16
MLK7-AS1	2.333706364	0.000298211
SH2D6	2.332747851	1.75E-05
FAM160B1	2.329589955	2.18E-08
LOC100129931	2.329525099	0.00223245
DMTN	2.328756626	5.17E-10
LINC01433	2.328636541	0.006646631
LRRC8A	2.326943584	6.44E-07
RAPGEF2	2.326584627	1.01E-06
ALS2CR12	2.323021499	0.000625302
LOC401052	2.321334088	3.44E-05
PTK2B	2.320533263	1.31E-05
ATG2A	2.320483357	1.54E-07
HBG1	2.320195421	1.42E-10
TMEM253	2.314516952	0.005074489
HIST1H2BM	2.313454198	0.001084323
HK3	2.313399977	0.004752329
RTCA-AS1	2.309431993	2.22E-05
SQSTM1	2.309067466	5.74E-11
GATSL2	2.305937514	0.000440307
MIR23A	2.29905719	0.009702725
CHI3L1	2.298821051	0.010148998
NUMBL	2.295275312	8.67E-08
BTNL10	2.292905304	1.62E-06
HBP1	2.284806578	2.98E-07
PAQR9	2.284467884	3.71E-10
ASAP1-IT2	2.281608708	0.001657212
HBD	2.28031589	5.87E-08
PINK1	2.279706179	1.84E-05
ARRDC3	2.27913951	3.25E-12
MTMR3	2.277840505	4.45E-07
SAT1	2.275899541	1.41E-07
HBE1	2.267938114	0.000000001
MOSPD1	2.267671569	1.09E-10
CYSTM1	2.266158964	1.74E-08
SNHG10	2.265395936	1.11E-16
MCOLN1	2.263113121	4.69E-07
SERTAD2	2.262831111	6.72E-06
BTLA	2.260443728	0.012907156
PNRC1	2.258927718	2.42E-08
COQ10B	2.257561285	3.46E-11
MKRN1	2.257539501	2.23E-07
PLEKHM3	2.25581083	3.88E-06
CYP4F12	2.251392544	0.001191153
GNAT2	2.247796735	0.003438274
SESN2	2.247755342	0.000382286
GCNT2	2.245086778	3.64E-08
MCC	2.242931976	0.000247618
KIF26A	2.242492856	9.31E-08
TREML2	2.240033668	0.000853697
SEC62	2.238843973	9.25E-07
BACH1-IT2	2.23645379	0.01327047
HECA	2.234019976	0.000001095
SMG1P3	2.232827469	0.000000193
HERC2P9	2.232682354	0.003242316
SLC25A37	2.231440112	5.95E-13
NAPB	2.227396809	7.99E-14
CCDC186	2.226760014	1.17E-05
YPEL5	2.225406753	1.09E-08
ARG2	2.219208875	5.24E-05
RELB	2.217909526	8.27E-07
CCS	2.213628881	5.25E-11
GLUD1P3	2.209494026	3.91E-09
MAP2K3	2.203745737	1.14E-09
PIM2	2.201286987	4.49E-07
FAM166A	2.198285651	0.008433591
LOC101929295	2.198057793	0.000791586
CYP3A4	2.196643796	0.015038762
LINC00278	2.194587343	0.000007999
BMS1P5	2.192749192	2.91E-07
SMCO3	2.192512476	0.000345672
HIST1H3G	2.187078171	0.003952843
CXCL16	2.186128834	0.004313291
ART4	2.185162823	6.64E-09
TMEM233	2.184820761	8.81E-12
GGN	2.184498035	0.007857546
ARHGEF12	2.183822335	5.83E-05
SMIM5	2.18299315	3.71E-07
GPR146	2.182474754	7.75E-07
KDM7A	2.181627036	7.91E-07
BSG	2.180646038	7.25E-12
ITPKC	2.179988506	1.32E-07
FITM1	2.178712516	3.51E-05
CD55	2.17450906	9.80E-15
CLK1	2.173253985	6.75E-10
EPB42	2.170782456	4.35E-08
SLC25A39	2.167117313	2.81E-10
PSMD6-AS2	2.165955576	1.63E-05
RHD	2.165666531	4.55E-07
DNAJB2	2.163260425	9.96E-05
RGCC	2.161825641	3.48E-06
H1F0	2.161400282	9.86E-06
MICAL2	2.155453115	1.93E-05
ID2-AS1	2.153974916	0.000188327
C19orf45	2.153438638	0.001392411
MXI1	2.153288055	1.78E-08
HIST1H3D	2.150267136	0.00015786
LOC100129203	2.149607604	0.00148355
SLC23A3	2.148631132	0.000185467
PRC1-AS1	2.147214332	0.000316281
SEMA4A	2.143766844	0.0001593
PAGE2B	2.138674592	9.69E-05
SCARNA17	2.136855437	0.000005492
KCNN1	2.134239217	0.000900702
GNAZ	2.132446142	8.14E-08
CELF3	2.130086433	2.30E-05
DNAJB4	2.129208463	0.000000007
B4GALT3	2.128667919	0.000000988
KIAA1683	2.122438991	0.012344682
DUSP1	2.121526174	4.17E-09
NARF	2.12017875	4.66E-10
FLJ31104	2.117596541	0.007772177
ANKRD20A4	2.11557734	3.35E-05
RNF10	2.112280935	5.40E-05
TNK2	2.111464251	6.23E-12
PRX	2.109960119	5.99E-12
CCDC24	2.108912256	1.84E-06
DEDD2	2.108172358	1.39E-06
BMP6	2.108034442	0.014680807
NFIA-AS1	2.106590588	0.017671507
HR	2.106352654	0.004276405
PIM1	2.106276375	3.73E-06
BAZ2A	2.10611905	1.65E-08
HBG2	2.10589787	2.47E-10
LOC100507389	2.103878375	0.019137534
STK40	2.103303858	8.47E-05
TRIM23	2.103215043	0.000000088
CAPN5	2.102136969	6.73E-08
TMPRSS9	2.101881454	0.00019229
PI4K2A	2.099774247	2.81E-05
PEAR1	2.097395992	1.05E-08
GDE1	2.09665205	1.62E-12
EP300	2.096214303	3.66E-05
PHLPP2	2.093936062	0.000047035
SH3BGRL3	2.093228374	0.000189917
LOC101927770	2.091947695	0.000636312
CRHBP	2.091071387	0.000405561
JAZF1	2.09082188	5.99E-06
MRS2P2	2.088053485	0.008826453
HIST1H1E	2.087089345	0.001793832
SLC25A18	2.08444425	0.008059732
FZR1	2.08406642	2.21E-05
TAL1	2.083661514	5.99E-12
XAGE2	2.081045004	0.02391365
CDR2	2.079248521	0.000001095
EPB41	2.078607212	3.72E-05
CHRM4	2.078029532	0.016313053
ALAS2	2.074986092	7.48E-11
LOC729732	2.072527379	0.000167959
LTF	2.072362542	0.00000492
RNF19A	2.071710807	7.80E-12
RNF103	2.069337249	1.24E-06
FTL	2.067724276	1.14E-11
COLEC11	2.067459132	0.025863406
NAALADL1	2.067230609	0.008595631
PP2D1	2.06480406	0.000648958
GMPR	2.062173729	5.10E-07
UBR4	2.061839347	1.64E-10
DCAF12	2.059535226	0.00020597
IBA57-AS1	2.059445057	0.001242171
KMT2E-AS1	2.058106206	1.86E-10
PHOSPHO1	2.056572815	6.24E-08
HERC1	2.05486343	3.16E-09
2-Mar	2.054285916	3.13E-05
OTUD1	2.05022327	4.60E-09
PLEK2	2.049989481	1.53E-08
E2F2	2.049828597	6.87E-06
UBXN6	2.048334675	0.00000377
LOC101927377	2.044556934	0.00412007
DNAJB9	2.043220545	4.39E-07
JMJD1C	2.042329563	0.000132579
MIR6513	2.040969768	0.013045121
ZSWIM8-AS1	2.040885777	0.00055123
C1orf116	2.040035905	0.001322079
DNAJB13	2.039709891	0.005200494
PIK3R1	2.038932275	0.000048571
DNHD1	2.03509325	6.40E-07
GTPBP2	2.033368485	7.99E-06
GOLGA6C	2.032585461	0.028284277
ATG4A	2.031321358	1.01E-10
JAKMIP3	2.029055276	0.000321274
SWT1	2.02899364	1.88E-07
SAMD7	2.02781079	0.025632024
SLC7A5	2.025523519	5.96E-05
RFFL	2.025352961	2.91E-06
HIST1H2BK	2.024759756	1.05E-11
GUCY2EP	2.023233098	0.028064204
DDI2	2.018609007	1.80E-13
KIAA0513	2.017679499	2.40E-11
BGLT3	2.017443897	1.52E-05
ID2	2.013084824	2.95E-12
LAG3	2.011015302	0.028923946
TGM5	2.006371238	0.023588721
PLEKHM1	2.002806955	0.000508483
SRXN1	2.000553613	0.000287774
CDC34	1.998596277	1.17E-09
LINC01588	1.997382944	0.000169977
PNMA2	1.995856313	0.03098875
MIR3671	1.995451242	0.016628076
ADIPOR1	1.995444703	0.000000455
CLK3	1.994364144	8.50E-14
TMEM86B	1.992315752	0.00019257
PPP1R32	1.9910897	0.000408879
SNCA	1.990336247	0.000082077
MYO1A	1.986452602	0.009917492
RANBP10	1.984127609	2.62E-08
KLF9	1.984119615	0.00027324
RNASEK	1.983743904	0.000286656
ZCCHC6	1.983435174	0.000006345
C7orf73	1.983365273	1.01E-07
ABALON	1.982279668	0.000581693
RSC1A1	1.982173431	9.41E-12
ZFAND4	1.978673631	2.59E-05
SLC12A8	1.975186654	0.026294846
MIR4656	1.97468774	0.033298396
BEX2	1.974320162	0.000558388
FAM214A	1.973525268	2.66E-05
KHNYN	1.971685567	8.47E-06
ARHGAP42	1.971303672	0.0002786
ST5	1.970411651	0.00932523
HIST2H2BF	1.968761163	0.002912522
SMIM24	1.96733674	0.014033088
HIST1H1D	1.966706275	0.000718123
LINC00908	1.964464002	0.009848445
RHCE	1.963314746	1.93E-06
RNF14	1.961382358	3.59E-06
TSPAN18	1.959265201	0.002937146
MBNL1-AS1	1.959192443	0.000911045
STK17A	1.959057886	3.20E-05
GPR52	1.957245346	0.034530811
USP12	1.955547347	0.000112004
BSDC1	1.954357681	3.64E-08
MIR339	1.95042484	0.033870004
WDR45	1.950382887	6.01E-05
DCAF8	1.95029924	3.74E-06
SSSCA1-AS1	1.949593063	4.89E-05
PITRM1-AS1	1.949520506	0.000280633
GUK1	1.949075961	8.37E-08
CHD2	1.947861901	5.81E-05
C3orf35	1.947170067	0.000854367
C5AR1	1.944613532	0.022943789
HIST1H4D	1.944230159	0.027405961
SPTA1	1.943470379	2.28E-08
PLEKHA6	1.942504691	0.027341447
DNAJC27-AS1	1.940333377	0.019559563
C9orf78	1.938822759	0.000006345
HIST1H2BB	1.938403163	0.013499014
ZBTB43	1.936389676	4.78E-05
FLCN	1.935355354	1.56E-09
OR2W3	1.935245189	0.000410756
BAIAP2L1	1.932558106	0.013089616
DGKH	1.931802467	1.13E-08
IFIT3	1.930703473	0.002608293
FKBP1B	1.930375547	6.25E-05
PPM1A	1.929187115	7.90E-07
SP6	1.928695299	0.011759306
HIST1H3B	1.927236384	0.001801575
TANK	1.924954896	0.00000839
GPR142	1.921637203	0.037147008
TP53INP1	1.921533252	1.88E-07
LOC100506990	1.919583891	0.00019196
IL10RA	1.919043001	4.27E-07
FCGR3B	1.918204243	0.000516416
LOC105377458	1.918198279	4.60E-05
SLCO2B1	1.915583153	0.013047657
ZFYVE1	1.914648302	1.64E-06
GABARAPL2	1.911544533	2.48E-07
RRAGC	1.91029484	2.61E-06
TMOD1	1.909587568	0.000000003
ABHD5	1.907836705	1.01E-07
MAFG	1.906946035	1.17E-09
RNF213	1.905403582	6.92E-13
KLF3-AS1	1.905191952	0.000155264
CFAP53	1.905063458	0.000108498
FAXDC2	1.903522087	0.002370293
HEMGN	1.903379543	2.33E-07
SERTAD3	1.900952773	8.57E-07
ZSWIM8	1.900620777	4.10E-07
PAQR9-AS1	1.899950346	0.004282358
GAPVD1	1.897444509	5.58E-06
ATG9A	1.897299513	4.43E-06
ARHGEF37	1.896952305	0.000000157
FGFR4	1.896501539	0.012096918
TBC1D20	1.89397736	6.06E-08
MDM2	1.893398099	1.61E-09
LRRC25	1.893294285	0.009311855
YIPF6	1.893286674	1.30E-13
RTP3	1.892979358	0.029839788
ATG4D	1.892875921	6.73E-08
SNORA21	1.891108495	0.02799513
FNBP1L	1.891020404	2.07E-06
LINC01512	1.890465583	0.037120078
DCK	1.889909096	6.32E-09
TMEM86A	1.889754969	0.013679599
DLGAP1	1.889513	0.022523596
SERINC1	1.888177361	2.16E-07
NR3C1	1.887853961	6.09E-05
SEMA3F-AS1	1.887556308	0.000065237
ISCA1	1.88721154	0.001144834
CEBPB	1.88675467	0.001871227
CRB1	1.885636131	0.002541492
CDKL1	1.880264026	0.000433763
SELENBP1	1.87878265	0.000001934
ZER1	1.876981191	1.39E-06
PDZK1	1.87497266	0.002225738
LOC101929634	1.873916513	0.045491652
SRGAP2B	1.873454422	1.54E-06
MIRLET7BHG	1.872206053	0.004226064
LRRC70	1.870269435	0.000516416
ERMN	1.867400564	0.045391985
C9orf153	1.867356109	0.046623261
ZCCHC2	1.864504158	6.99E-05
ZDHHC17	1.863800118	2.85E-05
PTPN3	1.862240486	0.023377446
TSPAN5	1.862230693	0.000282436
MBNL2	1.861373054	0.000607854
RASD1	1.860287911	0.000602242
NFIX	1.859326433	0.000204023
RN7SK	1.857273137	2.85E-05
INPP5K	1.855358862	0.000163132
MKNK2	1.853426005	1.50E-09
SLC22A4	1.852273861	2.27E-05
VCPIP1	1.851826665	4.67E-05
DLGAP1-AS2	1.850212344	0.00986102
LOC284454	1.84893373	2.50E-07
STX2	1.848233053	6.71E-09
CCDC17	1.846764662	0.002977592
SEMA6B	1.84476923	1.62E-07
FTH1	1.843550512	1.91E-07
SRGAP2D	1.842264688	0.000661551
LINC01004	1.839898756	7.71E-09
LINC01578	1.839621821	0.000000951
LOC101927278	1.83837969	0.004366345
TTYH2	1.836892089	1.67E-08
AFF1	1.83145273	1.21E-05
GPR3	1.830547095	0.040991907
BMS1P4	1.830020468	1.49E-08
LINC00641	1.82944296	0.000000208
LOC101927069	1.824497534	8.13E-07
MXD3	1.823375601	0.000000021
TRAK2	1.823337421	0.000661881
FAM21C	1.82308943	1.79E-05
BACH1	1.821592337	8.77E-06
HIST1H4K	1.821198075	0.010923098
TMEM57	1.819751776	1.54E-05
SNX16	1.819066188	0.000126377
TPRG1L	1.818860534	5.65E-06
CDKN1B	1.817391352	4.20E-06
SRGAP2C	1.817372165	6.25E-05
EMC3	1.814755549	3.25E-05
PGM2L1	1.812325667	1.50E-05
FBXO34	1.812125762	2.89E-05
HSD17B13	1.809293438	0.024250725
POU5F1P3	1.803598633	0.018423782
LOC644285	1.803280593	0.008811698
PLK3	1.801885456	0.000395246
ZNF451	1.800921645	6.23E-12
LAMB3	1.800590621	0.004276405
ACKR1	1.800041385	0.000495521
KLF3	1.799621333	0.000463496
SORBS1	1.79950868	0.000166012
SELK	1.799386738	0.000009677
GTF2B	1.798348897	5.45E-06
RNF182	1.798217931	0.002947074
LRP10	1.79693602	0.000411689
C18orf8	1.795909841	0.000103343
PNPLA2	1.79342028	0.000575016
MAN1A1	1.793127554	0.000113956
MSH4	1.788996237	0.032548966
GUCA1B	1.788404923	0.000585273
BMP2K	1.787413792	3.67E-06
ST6GALNAC2	1.785917065	0.029196643
TFE3	1.78531695	1.97E-05
ASAH1	1.784731815	2.75E-05
INAFM1	1.782640971	0.000215507
RICTOR	1.78262058	6.24E-07
APTR	1.78247924	0.000676498
MIR378H	1.781976409	0.030442537
METTL7A	1.781973892	2.60E-10
BNIP3L	1.781472344	5.96E-05
CLEC4A	1.780578606	0.010089808
CASQ1	1.779926397	0.033176627
NEURL1B	1.77875316	0.00000001
MAP4K5	1.778681595	0.000370496
FAT2	1.77695962	6.18E-05
ZSCAN12P1	1.774764442	0.005501752
FAM104A	1.77389799	0.000167612
ZNF165	1.773131675	0.000270858
MBD6	1.77257984	0.000282554
KDM5D	1.771321869	6.09E-05
PCGF5	1.771025517	9.12E-07
CTSV	1.770699869	0.032159476
MIR1281	1.770674156	0.006408274
C1S	1.770365057	0.003538688
EIF2AK1	1.769676108	7.99E-07
MIR4746	1.767775428	0.049906772
DLEU2	1.767105104	2.23E-07
ANKRD53	1.766578619	0.022175218
GABARAP	1.766297794	5.53E-06
EZH1	1.766199023	6.81E-06
TRIM38	1.766029133	3.08E-05
STAM	1.762559755	4.64E-10
